noc,job,workers,minEduc,yearsStudy,automationRisk,totalSkill,industry,cluster,sector,wage,skillsComp,skillsLogi,skillsMath,skillsLang,s1 Data Analysis,s2 Decision Making,s3 Finding Information,s4 Job Task Planning and Organizing,s5 Measurement and Calculation,s6 Money Math,s7 Numerical Estimation,s8 Oral Communication,s9 Problem Solving,s10 Reading,s11 Scheduling or Budgeting and Accounting,s12 Digital Technology,s13 Document Use,s14 Writing,s15 Critical Thinking,f1 Science & Agriculture,f2 Engineering,f3 Humanities,f4 Social Science,f5 Fine Arts,f6 Math And Computer Science,f7 Arts & Education,f8 Education   (teacher training)                      ,f9 Law,f10 Health,"f11 Health, Nursing & Clinical Laboratory",f12 Business,"f13 Medical, Dental & Veterinary",d1 Agriculture & Biological Science                    ,d2 Forestry                                            ,d3 Architecture & Landscape Architecture               ,d4 Humanities                                          ,d5 Social Sciences                                     ,d6 Fine & Applied Arts                                 ,d7 Computer Science                                    ,d8 Other Arts & Science                                ,d9 Education   (teacher training)                      ,d10 Engineering                                         ,d11 Law                                                 ,d12 Mathematics                                         ,d13 Kinesiology / Recreation / Physical Education       ,d14 Theology                                            ,d15 Physical Sciences                                   ,d16 Therapy & Rehabilitation                            ,"d17 Health, Nursing & Clinical Laboratory",d18 Business & Commerce                                 ,"d19 Medical, Dental & Veterinary"
712,Home building and renovation managers,4465,0,2.236220472,0.071,275,Management occupations,1,"Middle management occupations in trades, transportation, production and utilities",20,76,61,42,96,15,20,7,4,1,6,7,31,14,30,28,45,16,35,16,505,1190,0,115,80,30,1805,15,55,0,0,670,0,55,0,305,0,115,80,30,1805,15,885,55,0,0,0,450,0,0,670,0
731,Managers in transportation,3820,0,2.838095238,0.59,142,Management occupations,1,"Middle management occupations in trades, transportation, production and utilities",38.46,38,36,20,47,5,9,7,3,7,3,4,15,9,20,6,16,18,13,7,430,405,20,225,100,30,480,0,115,0,40,1975,0,0,0,0,20,225,100,30,480,0,405,115,0,0,0,430,0,40,1975,0
811,Managers in natural resources production and fishing,135,0,2,0.36,159,Management occupations,1,"Middle management occupations in trades, transportation, production and utilities",54.32,43,40,22,54,6,10,7,3,7,3,5,16,10,22,7,19,18,15,9,75,50,0,0,0,0,10,0,0,0,0,0,0,0,45,0,0,0,0,0,10,0,50,0,0,0,0,30,0,0,0,0
822,Managers in horticulture,135,0,2.5,0.47,138,Management occupations,1,"Middle management occupations in trades, transportation, production and utilities",19.31,38,35,20,46,5,9,6,3,7,3,4,15,9,19,6,16,17,13,7,135,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
911,Lumber graders and other wood processing inspectors and graders,17445,0.5,2.508982036,0.5,143,Management occupations,1,"Middle management occupations in trades, transportation, production and utilities",33.4481646,37.5,31.5,21,53,4.5,10,6.5,2.5,6.5,2,8,18.5,7.5,22,5,12,21,12.5,5,1690,6055,205,835,575,425,2455,65,225,40,80,4780,0,425,70,145,185,835,575,330,2455,65,5910,225,95,40,20,1195,0,80,4780,0
912,Utilities managers,1625,0,3.033898305,0.31,161,Management occupations,1,"Middle management occupations in trades, transportation, production and utilities",54.95,43,41,23,55,7,10,7,3,7,3,5,17,10,22,7,19,18,16,10,105,750,0,40,0,0,205,0,0,0,0,525,0,0,0,20,0,40,0,0,205,0,730,0,0,0,0,105,0,0,525,0
1112,Financial and investment analysts,16205,0,3.76744186,0.23,155,"Business, finance and administration occupations",4,Professional occupations in business and finance,33.65,42,39,22,53,6,10,7,3,7,3,4,16,10,21,7,18,17,15,9,75,345,95,1890,40,960,380,35,20,0,60,12305,0,30,20,0,95,1890,40,395,380,35,345,20,565,0,0,25,0,60,12305,0
1113,"Securities agents, investment dealers and brokers                                                                    ",4400,0,3.72826087,0.016,164,"Business, finance and administration occupations",4,Professional occupations in business and finance,32.05,44,41,23,56,7,10,7,3,7,4,5,17,11,22,8,20,17,17,9,35,125,30,785,0,140,205,0,20,0,0,3060,0,0,0,0,30,785,0,80,205,0,125,20,60,0,0,35,0,0,3060,0
1114,Other financial officers,29215,3,3.5,0.33,157,"Business, finance and administration occupations",4,Professional occupations in business and finance,33.33,38,35,29,55,6,8,5,3,0,3,4,21,7,16,22,18,14,18,12,305,835,410,4415,500,685,1475,285,780,180,170,19175,0,180,40,0,345,4415,500,430,1475,285,835,780,255,155,65,85,25,170,19175,0
1121,Human resources professionals,16320,3,3.592885375,0.201,194,"Business, finance and administration occupations",4,Professional occupations in business and finance,32.05,32,50,21,91,8,12,17,4,0,0,6,27,17,33,15,14,10,31,0,95,100,395,2930,405,330,1250,665,600,405,380,8765,0,20,20,0,375,2930,405,175,1250,665,100,600,155,95,20,55,310,380,8765,0
1122,Professional occupations in business management consulting,20890,3,3.843930636,0.071,183,"Business, finance and administration occupations",4,Professional occupations in business and finance,32.69,56,48,22,57,17,10,9,3,7,5,3,20,9,20,7,23,16,17,17,560,2005,250,2575,560,1840,990,255,330,175,110,11240,0,140,25,15,230,2575,560,1385,990,255,1990,330,455,45,20,395,130,110,11240,0
1211,"Supervisors, general office and administrative support workers                                                       ",640,0,2.565217391,0.014,161,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,25,43,40,22,55,7,10,7,3,7,4,4,17,10,22,7,20,17,16,9,0,0,30,25,0,0,0,50,45,0,40,450,0,0,0,0,30,25,0,0,0,50,0,45,0,0,0,0,0,40,450,0
1212,Bricklayers,5430,1,2.157574153,0.417,149.5,"Trades, transport and equipment operators and related occupations",3,"Industrial, electrical and construction trades",31.245,43,38,18,50,5,9.5,9.5,2.5,8,2.5,4,16,8,21.5,3.5,21,17.5,13,8,0,0,0,210,0,25,95,35,60,10,0,2240,0,0,0,0,0,210,0,25,95,35,0,60,0,10,0,0,0,0,2240,0
1213,"Supervisors, library, correspondence and related information workers                                                 ",220,0,3.25,0.014,158,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,36.77635169,42,40,22,54,7,10,7,3,7,3,4,17,10,21,7,19,17,16,9,0,0,0,0,0,0,35,80,0,0,0,105,0,0,0,0,0,0,0,0,35,80,0,0,0,0,0,0,0,0,105,0
1214,Business development officers and marketing researchers and consultants,16915,1.5,3.013138138,0.122,174.5,"Occupations in education, law and social, community and government services",5,"Professional occupations in law and social, community and government services",34.63817584,51,38.5,20.5,64.5,9,7,8,3,4.5,3,3.5,17,10,25.5,9,26,16.5,22,10,0,40,25,40,0,50,0,0,0,0,15,110,0,0,0,0,25,40,0,50,0,0,40,0,0,0,0,0,0,15,110,0
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations                                         ",3270,0,2.752688172,0.014,160,"Business, finance and administration occupations",4,Administrative and financial supervisors and administrative occupations,23,43,40,22,55,7,10,7,3,7,4,4,17,10,21,7,20,16,16,9,95,255,30,320,10,140,375,0,195,15,35,1800,0,0,0,0,30,320,10,140,375,0,255,195,0,15,0,95,0,35,1800,0
